,A,B,C,D,E
0,99,60,23,30,159
1,53,77,56,46,130
2,51,37,85,44,88
3,28,51,73,88,79
4,33,2,34,63,35
5,33,93,21,89,126
6,14,89,32,12,103
7,22,53,62,77,75
8,15,99,89,28,114
9,64,19,38,2,83
10,52,5,0,38,57
11,42,69,23,2,111
12,63,61,12,38,124
13,81,77,34,96,158
14,1,55,43,8,56
15,10,63,52,11,73
16,0,74,89,97,74
17,6,84,78,10,90
18,78,20,93,88,98
19,56,75,67,15,131
20,3,16,95,29,19
21,52,71,91,57,123
22,68,39,45,59,107
23,96,82,27,18,178
24,92,26,64,31,118
25,33,72,72,37,105
26,71,84,84,68,155
27,15,14,87,14,29
28,17,13,39,85,30
29,55,26,24,68,81
30,22,65,83,12,87
31,29,58,58,45,87
32,6,94,54,58,100
33,89,71,68,23,160
34,46,41,35,81,87
35,60,47,7,10,107
36,40,56,68,6,96
37,45,33,20,14,78
38,68,55,57,27,123
39,34,85,31,53,119
40,91,77,25,42,168
41,54,90,42,1,144
42,81,11,8,96,92
43,87,24,22,94,111
44,54,35,37,36,89
45,62,24,44,36,86
46,70,91,81,69,161
47,96,77,20,10,173
48,93,25,87,70,118
49,3,19,8,70,22
50,20,86,96,69,106
51,76,96,22,3,172
52,53,75,66,33,128
53,8,77,44,98,85
54,63,0,69,47,63
55,92,77,14,66,169
56,30,24,8,68,54
57,7,75,4,22,82
58,25,51,17,52,76
59,87,8,18,20,95
60,93,40,39,56,133
61,98,96,17,48,194
62,30,49,41,47,79
63,99,87,66,33,186
64,26,94,76,20,120
65,94,87,65,66,181
66,62,54,23,86,116
67,20,43,30,74,63
68,31,62,65,92,93
69,9,31,35,91,40
70,44,52,27,50,96
71,95,4,38,57,99
72,40,28,7,96,68
73,23,89,48,99,112
74,25,53,51,7,78
75,65,52,76,12,117
76,4,32,48,29,36
77,27,28,70,23,55
78,70,5,94,23,75
79,32,71,42,94,103
80,74,50,20,27,124
81,17,27,86,86,44
82,78,27,90,94,105
83,70,31,64,50,101
84,8,24,59,13,32
85,66,84,24,56,150
86,34,18,63,3,52
87,63,70,34,82,133
88,23,83,57,97,106
89,64,73,23,46,137
90,0,24,15,47,24
91,43,5,88,30,48
92,83,45,51,17,128
93,48,39,20,87,87
94,61,24,36,19,85
95,76,0,63,20,76
96,88,93,51,60,181
97,97,39,52,57,136
98,47,4,95,31,51
99,80,45,21,82,125
